2026-03-28 19:13:33,430 [INFO] werkzeug:  * Restarting with watchdog (windowsapi)
2026-03-28 19:13:42,909 [WARNING] werkzeug:  * Debugger is active!
2026-03-28 19:13:42,948 [INFO] werkzeug:  * Debugger PIN: 536-506-701
2026-03-28 19:24:04,107 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 500} | Time: 0.6268s | Status: SUCCESS
2026-03-28 19:24:19,201 [INFO] CV_Playground: Algorithm: Feature_orb | Params: {'keypoints': 1372} | Time: 0.0804s | Status: SUCCESS
2026-03-28 19:24:35,957 [INFO] CV_Playground: Algorithm: Depth_bm | Params: {'numDisparities': 64, 'blockSize': 15} | Time: 0.1621s | Status: SUCCESS
2026-03-28 19:24:47,207 [INFO] CV_Playground: Algorithm: Depth_sgbm | Params: {'numDisparities': 64, 'blockSize': 15} | Time: 0.6188s | Status: SUCCESS
2026-03-28 19:24:50,180 [INFO] CV_Playground: Algorithm: Depth_sgbm | Params: {'numDisparities': 16, 'blockSize': 15} | Time: 0.3227s | Status: SUCCESS
2026-03-28 19:24:53,688 [INFO] CV_Playground: Algorithm: Depth_sgbm | Params: {'numDisparities': 16, 'blockSize': 31} | Time: 0.3475s | Status: SUCCESS
2026-03-28 19:25:04,880 [INFO] CV_Playground: Algorithm: ObjectDetection_YOLO | Params: {'objects': 5} | Time: 1.6389s | Status: SUCCESS
2026-03-28 19:25:19,007 [INFO] CV_Playground: Algorithm: ObjectDetection_YOLO | Params: {'objects': 5} | Time: 1.0323s | Status: SUCCESS
2026-03-28 19:25:44,384 [INFO] CV_Playground: Algorithm: Seg_kmeans | Params: {'k': 5} | Time: 13.0445s | Status: SUCCESS
2026-03-28 19:26:18,190 [INFO] CV_Playground: Algorithm: Seg_watershed | Params: {'k': 5} | Time: 0.1119s | Status: SUCCESS
2026-03-28 19:26:24,348 [INFO] CV_Playground: Algorithm: Seg_watershed | Params: {'k': 14} | Time: 0.1127s | Status: SUCCESS
2026-03-28 19:26:54,063 [INFO] CV_Playground: Algorithm: Seg_kmeans | Params: {'k': 14} | Time: 25.4846s | Status: SUCCESS
2026-03-28 19:27:04,815 [INFO] CV_Playground: Algorithm: Seg_kmeans | Params: {'k': 3} | Time: 6.0350s | Status: SUCCESS
2026-03-28 19:27:12,569 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0065s | Status: SUCCESS
2026-03-28 19:27:12,713 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0000s | Status: SUCCESS
2026-03-28 19:27:12,857 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0000s | Status: SUCCESS
2026-03-28 19:27:13,014 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0018s | Status: SUCCESS
2026-03-28 19:27:13,157 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0001s | Status: SUCCESS
2026-03-28 19:27:13,307 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0000s | Status: SUCCESS
2026-03-28 19:27:13,462 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0000s | Status: SUCCESS
2026-03-28 19:27:13,617 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0010s | Status: SUCCESS
2026-03-28 19:27:13,763 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0000s | Status: SUCCESS
2026-03-28 19:27:13,913 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0050s | Status: SUCCESS
2026-03-28 19:27:14,057 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0000s | Status: SUCCESS
2026-03-28 19:27:14,213 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:14,357 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0000s | Status: SUCCESS
2026-03-28 19:27:14,543 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0030s | Status: SUCCESS
2026-03-28 19:27:14,680 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0000s | Status: SUCCESS
2026-03-28 19:27:14,807 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0000s | Status: SUCCESS
2026-03-28 19:27:14,982 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:15,147 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0000s | Status: SUCCESS
2026-03-28 19:27:15,263 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0010s | Status: SUCCESS
2026-03-28 19:27:15,440 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:15,557 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:15,711 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0020s | Status: SUCCESS
2026-03-28 19:27:15,878 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0022s | Status: SUCCESS
2026-03-28 19:27:16,019 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0010s | Status: SUCCESS
2026-03-28 19:27:16,165 [INFO] CV_Playground: Algorithm: Edge_canny | Params: {'low': 100, 'high': 200} | Time: 0.0010s | Status: SUCCESS
